Day,Wake,Bed,-> Sleep,Wake,Bed,Week,Extra,Week Total
Mon 21/3/11,,,,,,61:00,,61:00
Tue 22/3/11,10:45,3:30,10:30,10.45,3.3,,,
Wed 23/3/11,14:00,2:30,9:30,14,2.3,,,
Thu 24/3/11,12:00,4:30,12:30,12,4.3,,,
Fri 25/3/11,17:00,5:00,9:00,17,5,,,
Sat 26/3/11,14:00,5:00,9:30,14,5,,,
Sun 27/3/11,14:30,2:45,10:00,14.3,2.45,,,
Mon 28/3/11,12:45,0:00,9:30,12.45,0,67:30,,67:30
Tue 29/3/11,9:30,2:30,7:45,9.3,2.3,,,
Wed 30/3/11,10:15,2:45,12:00,10.15,2.45,,,
Thu 31/3/11,14:45,3:30,11:15,14.45,3.3,,,
Fri 1/4/11,14:45,3:00,7:45,14.45,3,,,
Sat 2/4/11,10:45,5:00,12:00,10.45,5,,,
Sun 3/4/11,17:00,5:15,7:15,17,5.15,,,
Mon 4/4/11,12:30,3:30,8:00,12.3,3.3,58:30,,58:30
Tue 5/4/11,11:30,4:15,8:45,11.3,4.15,,,
Wed 6/4/11,13:00,2:15,9:15,13,2.15,,,
Thu 7/4/11,11:30,4:45,11:30,11.3,4.45,,,
Fri 8/4/11,16:15,4:15,6:00,16.15,4.15,,,
Sat 9/4/11,10:15,4:00,6:30,10.15,4,,,
Sun 10/4/11,10:30,5:00,8:30,10.3,5,,,
Mon 11/4/11,13:30,4:00,11:00,13.3,4,64:45,,64:45
Tue 12/4/11,15:00,0:00,0:00,15,0,,,
Wed 13/4/11,0:00,21:45,11:45,0,21.45,,,
Thu 14/4/11,9:30,2:15,10:45,9.3,2.15,,,
Fri 15/4/11,13:00,1:30,11:30,13,1.3,,,
Sat 16/4/11,13:00,2:30,9:45,13,2.3,,,
Sun 17/4/11,12:15,1:30,10:00,12.15,1.3,,,
Mon 18/4/11,11:30,2:15,7:30,11.3,2.15,66:15,,66:15
Tue 19/4/11,9:45,3:30,10:15,9.45,3.3,,,
Wed 20/4/11,13:45,1:00,8:30,13.45,1,,,
Thu 21/4/11,9:30,3:15,14:15,9.3,3.15,,,
Fri 22/4/11,17:30,5:15,8:15,17.3,5.15,,,
Sat 23/4/11,13:30,0:15,10:00,13.3,0.15,,,
Sun 24/4/11,10:15,5:00,7:30,10.15,5,,,
Mon 25/4/11,12:30,3:30,10:00,12.3,3.3,64:15,,64:15
Tue 26/4/11,13:30,4:00,9:00,13.3,4,,,
Wed 27/4/11,13:00,2:30,7:45,13,2.3,,,
Thu 28/4/11,10:15,3:30,8:45,10.15,3.3,,,
Fri 29/4/11,12:15,4:00,10:15,12.15,4,,,
Sat 30/4/11,14:15,4:15,10:30,14.15,4.15,,,
Sun 1/5/11,14:45,3:15,8:00,14.45,3.15,,,
Mon 2/5/11,11:15,2:15,9:15,11.15,2.15,73:00,,73:00
Tue 3/5/11,11:30,2:30,11:45,11.3,2.3,,,
Wed 4/5/11,14:15,4:30,10:00,14.15,4.3,,,
Thu 5/5/11,14:30,3:30,9:15,14.3,3.3,,,
Fri 6/5/11,12:45,4:00,11:15,12.45,4,,,
Sat 7/5/11,15:15,4:00,12:15,15.15,4,,,
Sun 8/5/11,16:15,4:30,9:15,16.15,4.3,,,
Mon 9/5/11,13:45,12:30,21:00,13.45,12.3,75:15,,75:15
Tue 10/5/11,9:30,3:30,10:00,9.3,3.3,,,
Wed 11/5/11,13:30,3:45,9:45,13.3,3.45,,,
Thu 12/5/11,13:30,3:00,10:00,13.3,3,,,
Fri 13/5/11,13:00,4:00,7:00,13,4,,,
Sat 14/5/11,11:00,4:45,11:15,11,4.45,,,
Sun 15/5/11,16:00,4:30,6:15,16,4.3,,,
Mon 16/5/11,10:45,0:00,0:00,10.45,0,59:30,1:00,60:30
Tue 17/5/11,0:00,22:30,16:45,0,22.3,,,
Wed 18/5/11,15:15,5:15,9:00,15.15,5.15,,,
Thu 19/5/11,14:15,10:30,3:30,14.15,10.3,,,
Fri 20/5/11,14:00,4:15,10:45,14,4.15,,,
Sat 21/5/11,15:00,5:00,9:00,15,5,,,
Sun 22/5/11,14:00,5:15,10:30,14,5.15,,,
Mon 23/5/11,15:45,1:00,8:30,15.45,1,70:00,4:00,74:00
Tue 24/5/11,9:30,23:30,9:15,9.3,23.3,,,
Wed 25/5/11,8:45,3:30,9:30,8.45,3.3,,,
Thu 26/5/11,13:00,2:00,7:30,13,2,,,
Fri 27/5/11,9:30,2:00,12:00,9.3,2,,,
Sat 28/5/11,14:00,4:30,7:15,14,4.3,,,
Sun 29/5/11,11:45,21:00,16:00,11.45,21,,,
Mon 30/5/11,13:00,2:30,10:15,13,2.3,74:00,,74:00
